HERD,牛场名称,Region
12A241,天津市津宝飞天乳业,other
12A251,天津市宏乐奶牛养殖有限公司,other
12A252,天津市顶盛奶牛养殖场,other
12A257,天津市佳禾牧业有限公司,other
12A265,天津完达山奶牛养殖场,other
12A281,天津市武清区昊瑞丰牧有限公司,other
12A285,东达,other
12A297,董德平,other
12A298,畅军,other
12A299,安荣,other
12A300,邯郸牛奶公司,other
12A301,衡水格林奶牛场,other
12A302,高城冀丰动养公司,other
12A303,金柱奶牛生产性能测定,other
12A304,晋州周家庄奶牛场,other
12A305,鹿泉金豆奶牛场,other
12A306,鹿泉兴盛奶牛场,other
12A307,栾城褚会芳奶牛场,other
12A308,辛集润翔乳业公司,other
12A309,邢台沙河旭瑞乳业,other
12A310,赵县瑞格农畜公司,other
12A311,正定宏发奶牛场,other
12A312,蠡县顺平众康奶牛场,other
12A313,芦台兴业牛场,other
12A314,廊坊市固安县荷斯坦优种奶牛养殖有限公司,other
12A315,邢台大曹庄农场(三、五场）,other
12A316,河北绿奥乳业有限公司,other
12A317,汉沽兴业奶牛场系谱,other
12A318,定州阳光奶牛场,other
12A324,河北新鹿奶牛场,other
12A325,唐山市丰润区兴民奶牛场,other
12A328,青县华茂牛场,other
12A329,秦皇岛景明牧业,other
12A331,藁成堤上三山牛场,other
12A333,丰宁三缘,other
12A334,廊坊三河顺发奶牛场,other
12A335,邢台大曹庄农场(一场）,other
12A336,丰宁银河,other
12A337,黄骅渤海,other
12A344,张家口宣化,other
12A345,丰润乳源,other
12A348,大曹庄五场,other
12A352,河北华夏畜牧三河牛场,other
12A353,天津市福润德牧业有限公司,other
12A354,天津市武清区振杰奶牛养殖场,other
12A355,天津市富源养牛有限公司,other
12A360,天津百圣牧场,other
12A368,天津津澳牧业有限公司,other
12A370,天津市宝坻区宏远奶牛养殖场,other
12A371,天津津海牧业有限公司,other
12BJ01,天津中地牧场,other
12BJ30,中鼎天宇牛场,other
13BJ35,中鼎绿源牛场,other
13BJ60,廊坊中地生态牧场有限公司,other
13ZY07,中鼎牧业（张北）有限公司,other
13ZZ17,兴民养殖场,other
13a001,石家庄裕华西京北牛场,other
13a002,石家庄市桥东大郭村,other
13a003,河北品元畜禽育种有限公司,other
13a004,石家庄长安区庆达奶牛养殖场,other
13aa01,鹿泉3502,other
13aa02,鹿泉新鹿,other
13aa04,石家庄市鹿泉兴盛奶牛场,other
13aa05,鹿泉金豆,other
13aa06,鹿泉天成,other
13aa07,石家庄天泉良种奶牛有限公司,other
13aa08,赵县北路农牧有限公司,other
13aa09,鹿泉广玉,other
13aa10,鹿泉平北利源奶牛养殖场,other
13aa11,乐源牧业鹿泉有限公司,other
13aa12,鹿泉吉利奶牛养殖专业合作社,other
13aa13,石家庄市坤垚养殖有限公司,other
13aa14,鹿泉弘泰,other
13aa99,鹿泉区润民养殖场,other
13ab01,石家庄市鸿发良种奶牛养殖有限公司,other
13ab02,正定绿洲,other
13ab03,田园牛场,other
13ab04,正定金河,other
13ab05,正定绿城,other
13ab07,正定县城达奶牛养殖专业合作社,other
13ab08,正定新平牛场,other
13ab09,正定大地福瑞奶牛养殖有限公司,other
13ab10,正定县旭盛奶牛养殖专业合作社,other
13ab11,龙源奶牛养殖专业合作社,other
13ab12,正定县铭阳奶牛养殖场,other
13ab13,正定县正塔奶牛养殖专业合作社,other
13ab14,正定县荷斯坦奶牛养殖专业合作社,other
13ac01,河北金柱奶牛养殖有限公司,other
13ad01,石家庄栾城奶牛良种场,other
13ad02,栾城区会润奶牛养殖专业合作社,other
13ad03,栾城富康牧场,other
13ad04,栾城国富盛邦,other
13ad05,河北鼎源牧业有限公司,other
13ad06,栾城区积发养殖场,other
13ad07,栾城润民奶牛养殖专业合作社,other
13af03,石家庄市辛集倾井奶牛场,other
13ag01,晋州市周家庄农牧业有限公司,other
13ag02,晋州市天雨奶牛养殖合作社,other
13ag03,晋州市周家庄农牧业有限公司,other
13ag04,晋州市北白滩鼎利奶牛场,other
13ag05,晋州高町奶牛养殖场,other
13ag06,晋州市东里庄乡奶牛场,other
13ag07,晋州市阔源奶牛养殖场,other
13ag08,晋州市旺源奶牛养殖专业合作社,other
13ah01,赵县格瑞,other
13ah02,赵县宏业,other
13ah03,赵县永兴奶牛养殖场,other
13ah04,赵县银海奶牛养殖场,other
13ah05,赵县柏佑牧场,other
13ah06,赵县北路农牧有限公司,other
13ah07,赵县柏佑牧场,other
13aj01,高邑县千秋有种奶牛有限公司,other
13aj02,高邑县祥瑞牧业有限公司,other
13ak01,元氏康顺牧业有限公司,other
13ak02,元氏县铁达奶牛养殖有限公司,other
13ak03,元氏县新源养殖场,other
13ak04,元氏县益源奶牛养殖场,other
13ak05,元氏县昆仑盛泰奶牛养殖厂,other
13ak06,元氏汇海,other
13ak07,元氏县恒佳牧业有限公司,other
13ak09,元氏县绿康奶牛养殖场,other
13am01,平山县常盛奶业有限公司,other
13am02,平山县鑫犇养殖专业合作社,other
13am03,平山县国富金鑫乳业有限责任公司,other
13am04,平山盛牧,other
13am05,平山涌淼养殖专业合作社,other
13am99,平山县兴达奶牛养殖专业合作社,other
13an01,灵寿县天一农牧,other
13an02,石家庄三元佳奇农牧有限公司,other
13an03,灵寿兴业,other
13an04,灵寿华鑫,other
13an05,河北田牛农业科技开发有限公司,other
13an07,灵寿县诚义奶牛养殖专业合作社,other
13an08,灵寿县燕达奶牛养殖专业合作社,other
13an09,灵寿荣兰奶牛养殖专业合作社,other
13an10,灵寿县双英奶牛养殖专业合作社,other
13an11,灵寿县泽源奶牛养殖专业合作社,other
13an12,喜庆奶牛专业养殖合作社,other
13an13,灵寿敬远奶牛养殖专业合作社,other
13ap01,下岗职工牛场,other
13ap02,九顷丸牛场,other
13ap03,行唐陈大力,other
13ap04,祁彦群牛场,other
13ap05,行唐旭利,other
13ap07,行唐县官庄奶牛养殖专业合作社,other
13ap08,行唐县梨沿庄奶牛养殖小区,other
13ap11,乐源牧业行唐牧场,other
13ap12,行唐县茂通奶牛养殖小区,other
13ap13,行唐县旺源奶牛养殖合作社,other
13ap14,富源奶牛养殖合作社,other
13ap15,行唐县玉恒奶牛养殖专业合作社,other
13ap16,行唐宏远,other
13ap17,行唐泰安奶牛养殖小区,other
13ap18,行唐县甲旭养牛小区,other
13ap19,行唐长健奶牛场,other
13ap20,行唐县兴民奶牛养殖专业合作社,other
13ap21,行唐县三龙奶牛养殖专业合作社,other
13ap22,行唐县民社奶牛养殖小区,other
13ap23,行唐魏敏奶牛养殖小区,other
13ap24,行唐县余底奶牛养殖小区,other
13ap25,行唐新法,other
13ap26,行唐县绿源奶牛养殖专业合作社,other
13ap27,行唐县益佳旺奶牛养殖小区,other
13ap28,行唐县磁河庄奶牛养殖小区,other
13ap29,行唐县上碑镇太子庄玉熊奶牛养殖专业合作社,other
13ap30,行唐县五江奶牛养殖专业合作社,other
13ap31,行唐县黄龙港奶牛养殖小区,other
13ap32,行唐县源博奶牛养殖小区,other
13ap33,行唐县南龙岗养殖场,other
13ap34,行唐县双伟奶牛养殖场,other
13ap35,行唐三伟牧业有限公司,other
13ap40,行唐雪江奶牛养殖专业合作社,other
13ap41,行唐侯家庄,other
13ap42,行唐磁河庄二场,other
13ap43,行唐县东家奶牛养殖小区,other
13ap44,行唐牧源养殖场,other
13ap45,行唐县上滋洋奶牛养殖小区,other
13ap47,行唐鑫泉奶牛养殖小区,other
13ap48,石家庄箐苒牧业有限公司,other
13ap49,行唐县上方乡东井底村奶牛养殖场,other
13ap50,行唐县南郝峪大朋奶牛养殖小区,other
13ap51,行唐县军立奶牛养殖小区,other
13ap52,河北鑫旺食品有限公司,other
13ap53,行唐巨恒奶牛养殖有限公司,other
13ap54,行唐县上方乡东井底奶牛场,other
13ap55,行唐富源,other
13ap56,扶贫犇磊奶牛养殖小区,other
13ap58,行唐县林华奶牛养殖专业合作社,other
13ap59,行唐县富强奶牛养殖专业合作社,other
13ap98,行唐县沃土奶牛养殖场,other
13ap99,行唐昊成,other
13aq02,新乐市优源奶牛养殖场,other
13aq03,新乐市优源奶牛养殖场2,other
13aq05,新乐市永胜奶牛养殖专业合作社,other
13aq06,新乐市鸿运奶牛专业合作社,other
13aq07,新乐正新,other
13aq08,新乐张建芬,other
13aq09,新乐市德安牧场,other
13aq10,新乐市乐同奶牛养殖专业合作社,other
13aq11,新乐市鹏源奶牛养殖小区,other
13aq12,新乐市嘉帆奶牛养殖有限公司,other
13aq14,新乐市宇驰牧场,other
13aq15,中元牧业有限公司,other
13aq16,新乐闵镇三合牧场,other
13aq99,新乐旺盛,other
13ar01,无极县丰收奶牛养殖场生鲜乳收购站,other
13ar02,无极李双双奶牛养殖场,other
13ar03,无极县庆卯奶牛养殖场,other
13ar04,无极西丰奶牛养殖场,other
13ar05,无极县谈下其英奶牛养殖场,other
13ar06,无极限兴达奶牛养殖场,other
13ar07,无极县底立国奶牛养殖场生鲜乳收购站,other
13ar08,无极县甘二霞奶牛养殖场生鲜乳收购站,other
13ar09,无极联众奶牛养殖有限公司,other
13as01,深泽县金玉奶牛养殖有限公司,other
13as02,深泽鑫鑫二场,other
13as04,深泽县鑫英奶牛养殖专业合作社,other
13as05,河北友辰牧业有限公司,other
13at01,藁城提上三山,other
13at02,河北冀丰动物营养科技有限责任公司,other
13at03,藁城市牧盛奶牛养殖服务专业合作社,other
13at04,藁城市裕丰奶牛养殖中心,other
13at05,石家庄诚鑫牧业有限公司,other
13at06,藁城市荣祥奶牛饲养专业合作社,other
13at07,藁城天骄,other
13at08,藁城区兴牧奶牛场,other
13at09,藁城市秀芳养殖专业合作社,other
13at10,藁城区旭源奶牛养殖场,other
13at11,石家庄市藁城区天恒牧业有限公司,other
13at12,石家庄乐豪牧场,other
13at13,藁城区九州奶牛养殖场,other
13at14,藁城市同利奶牛养殖场,other
13at15,富农奶牛养殖场,other
13at16,藁城圣牧,other
13at17,藁城区金地奶牛场,other
13at18,藁城市宁龙养殖专业合作社,other
13at19,藁城市河牧奶牛养殖服务专业合作社,other
13at20,石家庄市藁城区六合养殖场,other
13at21,藁城诚鑫牧业有限公司,other
13at22,藁城区金瑞奶牛养殖场,other
13b502,芦台经济开发区天成奶牛场,other
13b503,芦台发展,other
13b504,芦台丰源,other
13b505,唐山市芦台经济技术开发区新华奶牛场,other
13b601,唐山汉沽兴业奶牛养殖有限公司,other
13b602,唐山市汉沽管理区兴牧奶牛养殖场,other
13ba01,唐山市丰润兴民奶牛场,other
13ba03,唐山市丰润乳源奶牛场,other
13bb01,唐山丰南犇鑫奶牛乳业有限公司,other
13bb02,唐山丰南华诚牛场,other
13bb03,丰南瀚源,other
13bb04,丰南华诚,other
13bb05,唐山中奥奶牛养殖有限公司,other
13bb06,唐山市丰润区建泉奶农农民专业合作社,other
13bb07,唐山市高新技术产业园区永泉奶农农民专业合作社,other
13bb08,唐山市丰润惠民奶牛养殖专业合作社,other
13bb09,唐山市丰南区忠义奶牛养殖中心,other
13bb10,唐山市丰润区宏达奶牛养殖场,other
13bc01,迁安金福祉,other
13bc02,迁安市智联农牧有限公司,other
13bc03,迁安市瑞安牧业有限公司,other
13bc04,迁安市广原奶牛养殖科技有限公司,other
13bc05,迁安市二牛畜牧养殖有限公司,other
13be01,北京双娃乳业有限公司滦县奶牛养殖场,other
13be02,滦县军英奶牛场,other
13be03,滦县佳和畜牧有限公司,other
13be04,唐山欧阳军辉牧场,other
13be05,滦县兴源,other
13bf01,滦南绿林,other
13bf02,滦南县海龙奶牛养殖场,other
